ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	99999917	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	2080	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	7253	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
25	99999940	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
31	14	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
53	5498	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
54	99999913	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
61	6723	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
72	99999902	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
74	99999942	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
117	6630	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	156	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2
139	2353	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2532	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2919	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6948	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7240	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999935	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999940	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
141	587	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
149	139	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	157	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	298	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	6490	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
149	6706	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	7267	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
150	2975	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
151	150	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
151	224	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
151	3476	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	6889	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999919	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
152	2917	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
152	5552	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
156	7303	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	3410	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999913	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
164	6862	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
173	871	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
174	6809	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
174	99999935	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
179	4536	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
181	99999915	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
188	2972	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	6513	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
216	7253	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
223	451	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
