ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
7	7253	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	151	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
74	3098	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
74	6956	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	2173	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
131	2174	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
138	918	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	164	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	6518	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6529	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6812	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6948	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999912	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999914	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999936	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
149	223	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	1242	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	7264	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999942	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
151	2341	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	3423	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6922	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	7331	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999905	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
151	99999933	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999942	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
152	442	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	521	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	692	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	2549	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	5896	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
152	6787	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999905	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999937	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
152	99999942	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	2
157	2859	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	3435	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
157	99999936	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999937	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
164	253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	7066	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
167	7399	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
176	224	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
185	2546	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
187	926	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
188	1508	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
193	1262	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
195	3541	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
197	224	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
198	4576	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
204	881	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
213	6711	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
217	257	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
217	6379	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
