ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
14	871	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	1155	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	6758	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	623	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	156	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	5789	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6794	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	7245	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
55	3035	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
64	99999917	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74	5495	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
87	3262	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
87	99999923	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
92	55	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
94	152	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	556	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	55	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	151	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	152	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	156	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	215	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	229	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	616	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	1041	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	3187	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	5306	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	5535	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	6498	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	6538	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6925	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6948	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	99999906	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
141	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
141	6529	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
145	7251	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	2296	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	5016	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
146	6381	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
147	521	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
147	6948	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
147	7216	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	146	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	150	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
149	151	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	2174	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	3009	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
150	412	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
150	7398	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	150	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	157	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
151	224	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	252	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	253	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	2
151	318	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	1936	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	2516	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
