ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	5735	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
7	2910	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	5006	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	6711	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	343	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6553	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
49	99999902	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	3079	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	224	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
62	7279	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
69	2886	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	52	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
85	169	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
90	3273	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
93	872	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
111	1156	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
132	2340	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
136	5009	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	614	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
138	1762	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3
139	151	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	152	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	157	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	224	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	253	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2
139	387	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	521	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	871	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2041	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2509	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	2729	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	3478	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	3540	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	4259	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
