ORIG	DEST	N_TOT
4504	4504	1
4504	4603	1
4512	4499	1
4516	4543	1
4521	4521	1
4522	4522	1
4522	4532	1
4522	4555	1
4525	4526	1
4526	4522	1
4527	4522	1
4529	4529	1
4529	4530	1
4530	4525	1
4530	4530	1
4531	4529	1
4531	4531	1
4532	4532	1
4541	4551	1
4542	4516	1
4543	4543	1
4543	4544	1
4544	4527	1
4551	4521	1
4551	4551	1
4553	4553	1
4553	4569	1
4555	4570	1
4559	4512	1
4559	4559	1
4564	4565	1
4565	4559	1
4570	4553	1
4570	4570	1
4603	4564	1
4603	4603	1
4611	4531	1
4634	1790	1
4634	4634	1
4634	6899	1
4653	4722	1
4662	4653	1
4663	4663	1
4663	4668	1
4667	4662	1
4667	4667	1
4668	4666	1
4668	4668	1
4672	4667	1
4679	3362	1
4679	4604	1
4722	4663	1
4722	4722	1
4725	4679	1
4725	4725	1
4762	4764	1
4764	4764	1
4770	4771	1
4771	4771	1
4771	4776	1
4776	4776	1
4806	4806	1
4854	4762	1
4855	4854	1
4857	4858	1
4858	4858	1
4858	4860	1
4859	4855	1
4859	4859	1
4860	4859	1
4861	4857	1
4861	4861	1
4862	4861	1
4863	4862	1
4863	4863	1
4866	4863	1
4929	6499	1
4951	4951	1
4951	4953	1
4951	4961	1
4952	4951	1
4953	4953	1
4953	4963	1
4955	4958	1
4957	4960	1
4958	4957	1
4960	4962	1
4961	4961	1
4961	4979	1
4962	4951	1
4962	4952	1
4963	4975	1
4966	4955	1
4966	4966	1
4967	4966	1
4975	4975	1
4975	4977	1
4977	4976	1
4979	5082	1
5054	5054	1
5054	5057	1
5057	5057	1
5082	5054	1
5112	5113	1
5113	5113	1
5127	5131	1
5131	5501	1
5144	5144	1
5144	5145	1
5145	5145	1
5146	5144	1
5146	5146	1
5157	5163	1
5160	5160	1
5160	5165	1
5161	5160	1
5161	5161	1
5162	5162	1
5162	5166	1
5163	5162	1
5163	5163	1
5165	5146	1
5165	5165	1
5166	5161	1
5166	5166	1
5172	5112	1
5172	5172	1
5173	5172	1
5173	5173	1
5203	5173	1
5280	5278	1
