ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
14	6528	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
50	99999940	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	5497	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
64	6327	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
64	99999933	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	99999915	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
92	772	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
111	99999917	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	149	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	6775	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
114	99999937	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
115	6529	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
138	1758	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	146	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	157	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	2
139	456	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	918	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2859	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6492	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	6711	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6779	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999911	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999913	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999915	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	99999916	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
