ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
1	49	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	2467	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	1019	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
35	6555	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
48	99999917	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	910	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	7398	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
49	99999933	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	99999941	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
68	7359	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
74	99999942	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
75	99999941	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
89	7239	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
100	4554	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
117	6351	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
118	99999912	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
132	99999939	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
135	99999941	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
138	99999942	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	152	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	451	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
139	2603	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	2896	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6809	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6862	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6996	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
139	99999912	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999917	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999932	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
139	99999938	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
139	99999941	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999942	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
141	3540	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
141	7056	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
141	99999916	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
141	99999941	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
144	99999912	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	513	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	139	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
151	149	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	151	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	783	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6531	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6708	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7279	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999904	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
151	99999906	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	99999933	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
