ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	99999941	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
14	6849	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
31	99999931	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
37	6547	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6529	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1
63	99999917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
64	99999917	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
69	1665	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
74	99999909	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1
75	99999920	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	99999923	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
94	99999915	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
113	99999916	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
119	7253	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	152	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	883	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	2203	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2474	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	2901	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2911	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	3746	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	4785	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6382	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6529	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6546	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7330	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
139	99999917	0	2	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3
139	99999923	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
139	99999933	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
141	99999917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
141	99999933	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
146	5326	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
147	99999933	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
149	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	3232	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	6862	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999931	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
149	99999938	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
150	99999917	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2540	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2770	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	2962	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6529	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6555	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	7189	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	7296	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	99999910	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999915	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	99999917	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	99999941	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
152	199	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6564	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	7240	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999906	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
