ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
32	5518	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	150	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
48	6382	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	560	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6513	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
49	6938	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	7034	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
63	99999941	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
66	574	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
72	6562	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
72	99999916	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
76	224	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	6918	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
83	99999918	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
87	99999940	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
88	7400	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
100	6754	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
100	99999905	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
115	6955	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
139	3012	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6961	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	7251	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999917	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
139	99999918	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999941	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
139	99999942	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
141	6862	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
142	456	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
147	7241	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	6523	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	7331	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
149	99999918	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	6377	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
151	6723	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	7249	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
151	7250	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
