ORIG	DEST	N_TOT
1	3362	1
37	1	1
37	37	1
42	37	1
42	42	1
43	42	1
43	43	1
50	43	1
107	109	1
108	107	1
108	108	1
109	109	1
109	1238	1
121	121	1
124	121	1
146	146	1
156	187	1
157	158	1
158	146	1
158	158	1
163	3362	1
178	178	1
178	979	1
179	178	1
187	187	1
187	188	1
188	188	1
204	213	1
213	213	1
213	215	1
215	254	1
229	1419	1
234	2519	1
235	237	1
236	235	1
236	236	1
237	234	1
237	237	1
241	236	1
241	241	1
253	253	1
254	254	1
254	255	1
255	255	1
262	241	1
263	262	1
263	263	1
268	263	1
268	268	1
272	268	1
322	322	1
322	330	1
323	323	1
323	328	1
324	323	1
324	324	1
325	324	1
328	328	1
328	329	1
329	322	1
329	329	1
330	330	1
331	331	1
331	332	1
332	332	1
333	334	1
334	331	1
334	334	1
336	336	1
337	2618	1
343	336	1
343	343	1
344	337	1
346	343	1
366	3362	1
368	366	1
373	373	1
381	381	1
382	344	1
382	381	1
382	382	1
383	382	1
410	410	1
410	2804	1
411	410	1
411	411	1
412	411	1
417	425	1
424	424	1
424	435	1
425	425	1
425	429	2
429	428	1
429	429	1
432	417	1
432	425	1
432	432	1
434	432	2
434	434	1
435	437	2
436	424	1
437	434	2
437	437	2
438	436	1
439	438	1
446	439	1
447	446	1
453	713	1
502	1044	1
504	508	1
508	508	1
519	519	1
519	521	1
520	1044	1
521	521	1
521	3362	1
558	253	1
561	563	1
563	519	1
587	587	1
587	615	1
588	587	1
588	588	1
603	603	1
603	604	1
604	604	1
604	605	1
605	605	1
610	603	1
614	588	1
615	615	1
615	935	1
616	616	1
616	618	1
617	617	1
617	620	1
618	617	1
618	618	1
619	619	1
619	903	1
620	619	1
620	620	1
624	629	1
629	629	1
629	979	1
661	662	1
662	663	1
663	663	1
663	664	1
664	664	1
664	672	1
669	669	1
669	671	1
671	671	2
671	690	1
672	672	1
672	673	2
673	671	1
673	673	1
680	681	1
681	681	1
681	979	1
689	691	1
690	690	1
691	691	1
691	692	1
692	669	1
692	692	1
713	713	1
713	778	1
716	453	1
747	3262	1
778	778	1
794	823	1
795	795	1
795	796	1
796	796	1
796	797	1
797	797	1
797	803	1
800	795	1
800	800	1
823	800	1
823	823	1
850	855	1
855	855	1
855	856	1
856	858	1
858	858	1
858	859	1
859	859	1
875	875	1
875	876	1
876	876	1
876	928	1
881	875	1
882	881	1
882	883	1
883	883	1
883	921	1
883	979	1
897	898	1
898	661	1
899	901	1
900	897	1
901	900	1
903	903	1
904	616	1
905	906	1
906	899	1
920	920	1
920	925	1
921	921	1
921	1008	1
925	883	1
925	925	1
926	920	1
926	926	1
927	926	1
927	927	1
928	927	1
935	935	1
935	938	1
937	585	1
938	937	1
943	943	1
944	944	1
944	976	1
948	950	1
950	950	1
950	952	1
951	951	1
952	951	1
957	948	1
957	957	1
958	957	1
959	958	1
960	960	1
960	961	1
960	969	1
961	959	1
961	961	1
962	960	1
963	969	1
969	960	1
969	969	1
969	973	1
973	944	1
973	973	1
976	943	1
979	1048	1
979	1239	1
1048	1044	1
1048	1048	1
1165	1169	1
1169	1180	1
1170	1165	1
1171	1177	1
1177	1182	1
1180	1195	1
1182	1170	1
1195	1196	1
1199	1289	1
1238	1238	1
1239	108	1
1239	1239	1
1264	1265	1
1265	1265	1
1268	1264	1
1268	1268	1
1289	1293	1
1292	1199	1
1293	1171	1
1293	1293	1
1305	1307	1
1306	1312	1
1307	1306	1
1309	1268	1
1309	1309	1
1311	1309	1
1312	1311	1
1353	6866	1
1354	1354	1
1354	1359	1
1355	1355	1
1355	1362	1
1359	1359	2
1359	1360	3
1360	1360	1
1360	1361	1
1360	1363	1
1360	1902	1
1361	979	1
1362	1354	1
1362	1359	1
1363	1565	1
1419	1419	1
1455	1008	1
1555	1555	1
1561	1563	1
1563	1555	1
1563	1563	1
1565	1565	1
1649	1654	1
1652	1652	1
1654	1652	1
1654	1654	1
1731	1732	1
1732	1732	1
1732	1950	1
1781	4488	1
1783	1781	1
1785	1783	1
1791	1785	1
1791	1786	1
1791	1791	1
1792	1791	2
1792	1792	1
1794	1792	1
1794	1794	1
1795	1794	1
1795	1795	1
1800	1795	1
1800	1800	1
1801	1800	1
1801	1801	1
1816	1819	1
1819	1801	1
1819	1819	1
1902	1353	1
1902	1355	1
1902	1902	1
1916	1917	1
1917	1918	1
1918	1918	1
1918	1939	1
1933	1933	1
1933	1934	1
1934	1934	1
1934	1937	1
1936	1936	1
1937	1937	1
1937	1938	1
1938	1938	1
1939	1933	1
1939	1939	1
1950	1936	1
1950	1950	1
2002	2003	1
2003	2003	1
2090	2096	1
2093	2095	1
2095	2095	1
2095	2096	1
2096	2096	2
2096	2104	1
2096	2148	1
2104	2107	1
2107	2174	1
2144	2144	1
2144	2145	1
2145	2167	1
2148	2144	1
2148	2148	1
2167	2167	1
2174	2174	1
2174	2175	1
2175	2175	1
2175	4453	1
2182	2183	1
2183	2183	1
2183	2184	1
2184	2184	1
2184	2195	1
2195	2195	1
2195	2360	1
2341	2361	1
2358	2358	1
2359	2358	1
2359	2359	1
2360	2359	1
2360	2360	1
2361	2361	1
2418	2418	1
2418	2421	1
2419	2418	1
2419	2419	1
2420	2679	1
2421	2421	1
2421	2702	1
2458	2458	1
2458	4604	1
2580	2583	1
2584	2580	1
2605	2605	1
2605	2606	1
2605	2668	1
2606	2607	1
2607	2609	1
2609	2584	1
2610	2605	1
2618	2619	1
2619	2605	1
2662	373	1
2679	2419	1
2679	2679	2
2682	2679	1
2682	2682	1
2689	2695	1
2695	2682	1
2695	2695	1
2702	2703	1
2734	2734	2
2734	2735	1
2734	3387	1
2735	2668	1
2735	2735	1
2744	2773	1
2745	2746	1
2746	2744	1
2746	2746	1
2758	2745	1
2761	2762	1
2762	2734	1
2762	2764	1
2764	2765	1
2765	2768	1
2768	2758	1
2773	4672	1
2775	2777	1
2777	2777	1
2777	4725	1
2804	2815	1
2809	2832	1
2815	2809	1
2826	2821	1
2826	2826	1
2831	2834	1
2832	2831	1
2834	2866	1
2835	2835	1
2835	2838	1
2836	2835	1
2836	2836	1
2837	2836	1
2838	2838	1
2838	2839	1
2839	2826	1
2839	2839	1
2846	2846	1
2846	2849	1
2847	2846	1
2847	2847	1
2848	2848	1
2849	2848	1
2849	2849	1
2851	2847	1
2974	2775	1
2986	2987	1
2987	2974	1
2987	2987	1
3106	2668	1
3116	3106	1
3189	3208	1
3189	3222	1
3207	3221	1
3208	3207	1
3218	3228	1
3219	3218	1
3220	3219	1
3220	3220	1
3221	3220	1
3221	3221	1
3222	3223	1
3223	3220	1
3223	3223	1
3225	3237	1
3227	3225	1
3228	3227	1
3237	3236	1
3251	3251	1
3262	3262	1
3262	3269	1
3263	3263	1
3263	3267	1
3267	3251	1
3269	3263	1
3283	747	1
3283	3283	1
3295	3302	1
3302	3283	1
3353	3474	1
3355	3475	1
3357	3357	1
3360	5514	1
3365	3424	1
3374	3374	1
3375	3476	1
3387	3481	1
3391	3391	1
3392	3392	1
3405	3675	1
3406	3405	1
3424	3360	1
3474	2458	1
3474	3474	1
3475	3357	1
3475	3475	1
3476	3391	1
3476	3476	1
3481	3374	1
3481	3392	1
3481	3481	2
3606	3608	1
3608	3608	1
3631	3648	1
3638	3646	1
3646	3631	1
3648	3649	1
3649	3649	1
3649	3654	1
3650	3650	1
3650	3658	1
3651	3650	1
3651	3651	1
3652	3651	1
3653	3652	1
3654	3655	1
3655	3655	1
3655	3656	1
3656	3657	1
3657	3653	1
3658	3663	1
3663	3663	1
3675	3638	1
3675	3675	1
3676	6392	1
3726	7221	1
3727	3726	1
3743	3727	1
3851	3851	1
3851	3857	1
3852	3852	1
3852	3857	1
3853	3854	1
3854	3852	1
3854	3854	1
3857	3857	2
3857	3988	1
3903	3990	1
3955	3955	1
3966	3966	1
3966	6026	1
3983	3983	1
3985	3983	1
3985	3985	1
3986	3985	1
3986	3986	1
3987	3986	1
3987	3987	1
3988	3987	1
3988	3988	1
3990	3966	1
3990	3990	1
3996	3998	1
3998	3903	1
3998	3998	1
4101	4101	1
4101	4103	1
4102	4101	1
4103	4103	1
4103	4105	1
4105	4105	1
4105	4108	1
4106	6104	1
4107	4107	1
4107	4201	1
4108	4106	1
4108	4108	1
4178	5345	1
4338	4338	1
4338	4342	1
4339	4339	1
4342	4340	1
4342	4342	1
4342	4345	1
4343	4338	1
4345	4345	1
4362	4342	1
4362	4362	1
4369	4362	1
4369	4369	1
4373	4369	1
4374	4373	1
4376	4374	1
4376	4376	1
4377	7026	1
4378	4376	1
4378	4378	1
4382	4383	1
4383	4378	1
4384	4382	1
4390	4384	1
4402	4402	1
4403	4403	1
4403	4411	1
4404	4403	1
4411	4402	1
4411	4411	1
4453	4453	1
4453	4454	1
4454	4454	1
4454	4509	1
4461	4461	1
4461	4558	1
4465	4554	1
4488	4493	1
4493	4515	1
4509	5501	1
4514	4521	1
4515	4514	1
4521	4523	1
4523	4542	1
4534	4137	1
4541	4541	1
4554	4554	1
4554	4559	1
4557	4611	1
4558	4557	1
4559	4559	1
4559	4571	1
4571	4461	1
4571	4541	1
4571	4571	2
4573	4589	1
4588	4634	1
4589	4588	1
4589	4589	1
4604	5863	1
4604	7055	1
4611	4534	1
4611	4611	1
4629	7302	1
4634	4571	1
4672	4672	1
4675	2986	1
4679	4679	1
4725	4679	1
4725	4725	1
4756	4761	1
4761	3743	1
4766	4773	1
4770	4770	1
4773	4770	1
4773	4773	1
4773	6513	1
4784	4178	1
4806	4870	1
4851	4806	1
4851	4851	1
4852	4851	1
4853	4852	1
4867	4866	1
4870	4871	1
4871	4872	1
4872	4877	1
4874	4867	1
4874	4874	1
4877	4878	1
4878	4879	1
4879	4874	1
4962	4962	1
4984	4986	1
4985	4985	1
4985	4992	1
4986	4986	1
4986	4987	1
4987	4990	1
4990	4990	1
4990	4991	1
4991	4985	1
4992	4962	1
4992	4992	1
5002	4967	1
5003	5002	1
5004	5003	1
5009	5080	1
5012	5004	1
5012	5012	1
5017	5009	1
5018	5020	1
5019	5018	1
5020	5017	1
5020	5020	1
5023	5019	1
5056	5080	1
5080	5012	1
5080	5080	1
5080	5501	1
5126	5126	1
5126	5127	1
5127	5127	1
5145	5126	1
5145	5145	1
5147	5145	1
5150	5150	1
5150	5156	1
5151	5151	1
5151	5152	1
5152	5152	1
5152	5153	1
5153	5153	1
5153	5157	1
5156	5151	1
5156	5156	1
