ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
14	6809	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	7035	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	7325	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	7368	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	7373	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
27	5008	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
31	6706	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
44	929	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	99999923	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
72	633	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
74	5497	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
87	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
92	3381	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
93	99999903	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
111	7034	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	157	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
119	2298	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
136	1475	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	31	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	209	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	224	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	253	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
139	456	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	937	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	940	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2887	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2904	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
139	3040	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	5127	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
139	5194	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
139	6551	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6557	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	6767	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
