ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	815	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
2	6549	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
14	216	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
14	99999916	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	146	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	7270	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999917	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
42	6948	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
43	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
46	99999922	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
49	99999937	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	2
51	99999910	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	99999903	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
55	794	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
55	99999941	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
64	99999917	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
66	216	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
75	2624	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
75	99999939	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
76	223	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
76	99999913	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	99999943	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
82	2040	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
86	6707	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
87	99999940	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
106	99999914	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
114	224	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
115	6926	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
117	2421	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
127	99999933	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
127	99999941	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	25	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
138	99999906	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	99999912	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
139	187	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
