ORIG	DEST	N_TOT
1	25	1
2	2	1
7	2	1
25	25	1
30	1	1
31	31	1
31	32	1
32	30	1
32	32	1
33	31	1
66	66	1
89	89	1
104	104	1
104	127	1
104	133	1
106	104	1
110	109	1
110	110	1
111	110	1
111	111	1
112	111	1
112	112	1
112	113	1
113	113	2
113	114	1
114	114	1
114	1473	1
115	112	1
115	115	1
121	121	1
121	122	1
122	115	1
122	122	1
124	121	1
126	126	1
126	131	1
127	126	1
127	127	1
129	104	1
131	131	1
133	133	1
151	151	1
155	155	1
167	179	1
179	179	1
179	203	1
182	182	1
182	570	1
190	155	1
203	203	1
203	4604	1
212	190	1
212	212	1
213	212	1
213	213	1
254	254	1
259	259	2
265	259	1
267	267	1
271	271	1
306	259	1
316	316	1
316	317	1
317	317	1
328	328	1
348	348	1
348	349	1
348	381	1
349	349	1
349	472	1
352	352	1
352	2614	1
353	352	1
353	353	1
354	353	1
375	375	1
375	382	1
376	348	1
376	376	1
381	375	1
381	381	1
382	382	1
382	392	1
392	392	1
392	2811	1
395	396	1
395	2668	1
396	376	1
396	396	1
472	472	2
496	496	1
498	496	1
498	498	1
499	498	1
499	499	1
500	499	1
528	306	1
528	528	1
534	534	1
535	534	1
535	535	1
544	544	1
544	547	1
545	544	1
546	546	1
547	546	1
547	547	1
548	545	1
548	548	1
549	550	1
550	548	1
550	550	1
555	555	1
556	555	1
570	570	1
580	580	1
592	592	1
598	598	1
600	598	1
600	600	1
639	639	1
658	658	1
683	683	1
744	754	1
751	755	1
752	751	1
754	754	1
755	744	1
801	801	1
801	822	1
802	801	1
822	822	1
841	979	1
861	866	1
863	861	1
866	867	1
867	868	1
868	884	1
872	872	1
872	920	1
878	878	1
878	879	1
879	872	1
881	878	1
884	881	1
942	942	1
953	954	1
954	954	1
954	955	1
955	955	1
955	957	1
957	957	1
957	963	1
963	963	1
979	66	1
979	89	1
979	106	1
979	113	1
979	151	1
979	254	1
979	274	1
979	472	1
979	580	1
979	592	1
979	639	1
979	658	1
979	942	1
979	996	1
979	1027	1
979	1477	1
979	1504	1
979	2030	1
979	2330	1
979	6832	1
980	1006	1
995	995	1
996	995	1
996	996	1
1008	182	1
1008	213	1
1008	535	1
1008	600	1
1008	1008	2
1008	1477	1
1012	1009	1
1022	1025	1
1023	1023	1
1024	1023	1
1024	1024	1
1025	1024	1
1025	1025	1
1027	1027	1
1044	267	1
1044	328	1
1044	683	1
1057	1061	1
1061	1061	1
1061	1062	1
1062	1062	1
1068	1068	1
1079	1068	1
1377	1379	1
1379	1379	1
1379	1380	1
1380	1380	1
1380	1381	1
1381	980	1
1381	1381	1
1396	1471	1
1420	1422	1
1421	1012	1
1422	1426	1
1426	1426	1
1426	1444	1
1429	1431	1
1431	1431	1
1444	1448	1
1445	1446	1
1446	1421	1
