ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
5	99999933	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
14	1041	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
14	5746	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	99999910	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2
14	99999933	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
16	157	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	42	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
25	185	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	1456	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999913	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
27	99999919	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
31	99999923	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
42	5746	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
43	522	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
43	1492	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
47	4476	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
48	6809	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
48	99999936	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
48	99999941	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	661	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	7372	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
