ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	6513	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
2	6706	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
2	7254	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
14	253	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	1384	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
14	2373	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	5946	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	188	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	3423	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
25	6551	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
25	7243	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
25	7259	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
33	7304	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
35	7346	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
37	227	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
37	2977	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
37	99999921	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
43	7386	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
43	99999942	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
46	4392	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
49	1756	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
49	5350	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
49	6525	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	6926	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	7066	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	99999903	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	99999924	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
50	6548	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
53	821	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1
53	7252	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	83	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	139	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	1045	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	2990	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	6838	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
54	7365	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	605	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
55	2477	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
55	4634	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
55	6500	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
58	2284	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
69	203	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
72	1671	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
74	2284	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
74	2978	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
74	99999943	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
75	99999940	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
76	6516	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
76	99999917	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
80	606	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
83	139	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
83	422	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
86	207	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
86	4304	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
86	4503	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
86	6529	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
87	7251	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
88	99999902	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
92	224	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
92	6553	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
94	5929	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
94	99999917	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
109	6557	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
114	1697	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	3968	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	6506	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	6553	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
114	7365	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
114	99999917	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	99999921	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
115	2548	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
115	6547	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
115	6711	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
118	2322	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
118	6711	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
121	7283	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
136	6809	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
137	4303	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
138	1384	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
138	2985	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	6531	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
