ORIG	DEST	N_TOT
43	43	1
43	5514	1
49	49	1
49	51	1
50	43	1
51	50	1
64	49	1
64	64	1
65	64	1
85	85	1
85	86	1
86	86	1
86	87	1
87	87	1
87	88	1
88	88	1
122	979	1
130	130	1
147	151	1
151	151	1
186	194	1
189	189	1
192	192	1
192	193	1
193	189	1
193	193	1
194	192	1
198	198	1
198	558	1
199	246	1
208	208	1
208	565	1
223	979	1
245	198	1
245	245	1
246	557	1
250	245	1
270	270	1
313	314	1
314	314	1
314	317	1
315	315	1
315	318	1
317	315	1
317	317	1
318	318	1
318	332	1
327	327	1
331	331	1
332	331	1
332	332	1
332	2620	1
338	339	1
339	327	1
339	339	1
376	376	1
379	379	1
379	380	1
380	376	1
380	380	1
390	379	1
390	390	1
403	403	1
406	403	1
406	406	1
407	406	1
407	407	1
409	407	1
409	409	1
413	4137	1
492	500	1
500	500	1
500	3362	1
509	510	1
510	510	1
557	208	1
557	557	1
558	199	1
558	558	1
559	4604	1
565	565	1
583	85	1
583	583	1
584	583	1
678	678	1
678	681	1
679	788	1
680	679	1
681	680	1
691	979	1
718	718	1
718	725	1
720	413	1
720	720	2
720	2668	1
722	723	1
723	724	1
724	718	1
725	731	1
727	728	1
728	734	1
729	720	1
729	729	1
731	731	1
731	732	1
732	729	1
732	732	1
733	727	1
734	744	1
738	720	1
744	755	1
755	755	1
755	757	1
757	758	1
758	762	1
762	811	1
787	787	1
787	790	1
788	787	1
790	790	1
840	841	1
841	678	1
842	843	1
843	844	1
844	846	1
846	840	1
860	860	1
861	860	1
861	861	1
863	861	1
959	959	1
960	960	1
960	961	1
961	959	1
961	961	1
969	960	1
986	988	1
987	1000	1
988	987	1
988	988	1
991	991	1
995	991	1
995	995	1
999	999	1
999	1001	1
1000	999	1
1000	1000	1
1001	995	1
1008	130	1
1044	270	1
1054	1064	1
1064	1064	1
1071	1071	1
1072	1071	1
1072	1072	1
1077	1072	1
1077	1077	1
1078	1077	1
1234	1234	1
1234	1235	1
1234	1262	1
1235	1236	1
1236	1232	1
1236	1234	1
1255	1255	1
1255	1308	1
1262	1255	1
1262	1262	1
1270	1234	1
1286	1270	1
1288	1300	1
1298	1288	1
1300	1286	1
1308	1308	1
1308	1310	1
1310	1313	1
1374	1470	1
1447	1447	1
1452	1452	1
1452	1461	1
1453	1454	1
1454	1455	1
1455	1447	1
1456	1453	1
1461	1456	1
1462	1452	1
1463	1462	1
1470	1463	1
1788	2084	1
1793	1801	1
1795	1795	1
1799	1795	1
1799	1799	1
1801	1799	1
1818	2002	1
2002	2002	1
2002	2003	1
2003	1788	1
2084	4604	1
2133	2133	1
2133	2140	1
2137	2137	1
2138	2137	1
2138	2138	1
2140	2138	1
2140	2140	1
2141	2133	1
2141	2141	1
2150	2141	1
2156	2150	1
2181	2190	1
2187	2187	1
2187	2188	1
2188	2188	1
2188	2195	1
2189	2187	1
2189	2189	1
2190	2189	1
2191	2191	1
2191	2193	1
2192	2191	1
2193	2193	1
2193	2194	1
2194	2181	1
2251	2252	1
2252	5606	1
2356	2481	1
2379	2379	1
2481	2481	1
2481	2501	1
2501	2379	1
2501	2501	1
2584	2584	1
2584	2608	1
2585	2584	1
2586	2587	1
2587	2585	1
2591	2608	1
2593	2594	1
2593	2595	1
2594	2595	1
2595	2610	1
2596	2596	1
2596	2597	1
2597	2593	2
2600	2622	1
2605	2596	1
2608	2600	1
2608	2605	1
2610	2597	1
2610	2610	1
2620	2610	1
2622	2623	1
2623	332	1
2668	3460	1
2668	3502	1
2803	2803	1
2803	2804	1
2804	409	1
2804	2804	1
2805	2803	1
2821	390	1
2821	2821	1
2822	2821	1
3207	3207	1
3207	3221	1
3211	3209	1
3214	3215	1
3215	3217	1
3217	3211	1
3220	3207	1
3221	3221	1
3221	3222	1
3222	3238	1
3223	3229	1
3225	3225	1
3225	3235	1
3229	3214	1
3235	3246	1
3238	3223	1
3238	3225	1
3238	3238	1
3239	3241	1
3241	3238	1
3246	3247	1
3247	3247	1
3359	3501	1
3360	2668	1
3362	5663	1
3362	5784	1
3378	3446	1
3444	3444	1
3446	3444	1
3446	3446	1
3455	3455	1
3460	3455	1
3460	3460	1
3469	2668	1
3501	3501	1
3502	3502	1
3591	3592	1
3592	4137	1
3595	3591	1
3595	3595	1
3597	3603	1
3598	3599	1
3599	3597	1
3601	3598	1
3603	3595	1
3606	3601	1
3639	3639	1
3639	3664	1
3640	3639	1
3641	6478	1
3664	3664	1
3818	3820	1
