ORIG	DEST	N_TOT
21	22	1
22	25	1
25	25	1
43	43	1
43	52	1
49	43	1
49	49	1
50	49	1
51	50	1
51	51	1
53	51	1
53	53	1
66	53	1
83	21	1
83	83	1
83	85	1
84	83	1
85	85	1
85	86	1
86	86	1
98	1008	1
113	114	1
114	114	1
118	127	1
127	127	1
138	1008	1
143	143	1
146	146	1
147	143	1
156	205	1
180	180	1
186	180	1
190	192	1
192	192	1
192	202	1
193	200	1
198	198	1
198	558	1
199	199	1
199	200	1
200	200	3
200	201	1
200	206	1
200	1431	1
201	200	1
201	201	1
201	1008	1
202	201	1
202	202	1
204	204	1
204	214	1
205	204	1
205	205	1
206	206	1
214	214	1
241	1080	1
245	198	1
245	245	1
247	557	1
250	245	1
259	259	1
281	259	1
281	281	1
294	295	1
295	295	1
306	281	1
307	306	1
307	521	1
310	320	1
319	307	1
319	319	1
320	319	1
320	320	1
321	321	1
321	322	1
322	322	1
322	323	1
323	323	1
324	324	1
345	345	1
361	361	1
361	2857	1
362	361	1
362	362	1
363	362	1
376	378	1
378	378	1
378	384	1
384	384	1
387	345	1
407	407	1
408	407	1
449	448	1
449	449	1
451	453	1
452	449	1
452	452	1
453	452	1
453	453	1
490	701	1
500	501	1
501	490	1
501	501	2
505	505	1
519	979	1
521	307	1
521	324	1
521	521	2
522	321	1
526	552	1
528	521	1
528	528	1
528	533	1
529	528	1
530	526	1
533	533	1
533	537	1
534	534	1
534	536	1
535	534	1
535	535	1
536	536	1
536	540	1
537	538	1
538	530	1
540	540	1
543	543	1
543	605	1
552	535	1
557	557	1
558	199	1
558	558	1
569	528	1
599	599	1
601	599	1
601	601	1
602	601	1
602	602	1
604	604	1
605	604	1
605	605	1
606	607	1
607	607	1
607	608	1
608	543	1
609	602	1
611	612	1
612	612	1
612	613	1
613	613	1
613	628	1
615	616	1
616	616	1
616	619	1
616	908	1
618	618	1
619	618	1
624	624	2
628	624	1
628	628	1
630	630	1
631	631	1
631	654	1
631	655	1
637	631	1
644	3362	1
654	630	1
654	654	1
655	655	1
655	656	1
656	624	1
656	656	1
657	662	1
662	501	1
662	662	1
663	673	1
673	673	1
673	674	1
674	674	1
674	675	1
675	675	1
675	676	1
676	676	1
686	686	1
686	786	1
697	784	1
701	697	1
707	716	1
714	714	1
714	783	1
715	714	1
715	715	1
716	715	1
716	716	1
726	726	1
726	732	1
726	735	1
727	727	2
727	729	1
727	2662	1
729	729	1
732	727	1
732	731	1
732	732	1
733	732	1
735	727	1
735	733	1
735	735	1
738	775	1
739	738	1
741	726	1
775	777	1
776	776	1
776	792	1
777	735	1
778	776	1
779	778	1
783	783	1
784	739	1
784	785	1
785	686	1
786	786	2
786	793	1
787	786	1
787	787	1
790	787	1
790	790	1
790	793	1
791	793	1
792	790	1
792	792	1
793	793	2
793	794	2
794	784	1
794	794	2
794	827	1
827	827	1
857	891	1
871	871	1
872	871	1
872	872	1
876	929	1
878	878	2
878	879	2
879	872	1
879	879	2
880	878	2
883	921	1
885	883	1
885	885	2
885	919	1
891	891	1
891	893	1
893	893	1
903	979	1
908	904	1
909	616	1
918	909	1
918	912	1
918	918	2
919	918	2
919	919	1
921	885	1
921	921	1
921	922	1
922	919	1
922	921	1
922	922	1
923	885	1
923	922	1
924	923	2
924	924	1
927	880	1
927	927	1
928	927	1
929	928	1
929	929	1
929	930	1
930	924	1
941	1377	1
942	943	1
943	941	1
943	943	1
950	950	1
951	951	1
951	952	1
952	950	1
952	952	1
953	951	1
953	953	1
966	966	1
973	977	1
974	973	1
977	942	1
979	505	1
979	6786	1
1056	1056	1
1056	1072	1
1066	1056	1
1071	1071	1
1071	1075	1
1072	1071	1
1072	1072	1
1075	1075	1
1080	1080	1
1080	2051	1
1157	1157	1
1157	6723	1
1187	1157	1
1187	1187	1
1188	1187	1
1188	1188	1
1190	1188	1
1240	1249	1
1249	1249	1
1249	1251	1
1251	1251	1
1251	1253	1
1253	1261	1
1261	1261	1
1261	1266	1
1266	1266	1
1266	1270	1
1270	1270	1
1355	1355	1
1355	1357	1
1357	1357	1
1377	1379	1
1379	1379	1
1379	1380	1
1380	1380	1
1391	1008	1
1398	979	1
1431	1428	1
1431	1431	1
1474	979	1
1553	1553	1
1553	1579	1
1555	6869	1
1557	1557	1
1557	6870	1
1558	1948	1
1558	1949	1
1564	1557	1
1564	1564	1
1565	1565	1
1566	1585	1
1578	1553	1
1579	1579	1
1579	1584	1
1584	1566	1
1584	1584	1
1585	1565	1
1585	1585	1
1591	1564	1
1618	1626	1
1619	1621	1
1621	1622	1
1622	1623	1
1623	1630	1
1626	1627	1
1627	1628	1
1628	1629	1
1629	1619	1
1630	1630	1
1630	1688	1
1647	1647	1
1648	1647	1
