ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
25	99999914	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
25	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
27	7267	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	2981	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	2984	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
84	658	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
92	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
100	99999942	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	2911	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
115	99999943	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
130	7365	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
130	99999942	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
137	99999942	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
138	99999942	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
139	145	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	151	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
139	521	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2911	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2981	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6711	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6925	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6926	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6951	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999923	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	99999941	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999942	1	6	2	0	1	1	0	0	4	0	0	2	1	4	0	0	0	0	11
141	2002	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
141	99999941	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
141	99999942	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
144	99999942	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	3
145	6723	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
146	2771	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
146	99999905	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
147	4623	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
147	99999942	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
149	539	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	7253	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999942	0	1	1	1	0	0	0	1	1	0	0	2	0	1	0	0	0	0	4
151	224	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	253	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	456	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	783	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	5501	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
