ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
2	99999910	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
25	250	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
37	5505	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
49	720	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	991	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	5008	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
54	453	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
54	7251	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
55	1757	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
69	99999916	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
74	99999942	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
90	7025	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
94	7360	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
114	6527	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
130	4304	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	143	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
139	224	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	227	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	980	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	6723	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
141	5511	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
143	1671	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
146	7025	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	2038	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	7283	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
150	2666	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
150	6326	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
151	253	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
151	397	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	941	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
151	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2916	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
151	3259	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
151	4634	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
151	6975	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7010	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	253	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
152	982	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	6867	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999910	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2
157	1762	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1
157	4709	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
157	5502	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
163	4169	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
163	99999923	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
164	1208	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
183	2174	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
185	3284	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2
188	227	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
208	252	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
213	422	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
213	6707	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	5327	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	6538	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
217	5254	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
218	99999923	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
223	215	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
223	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
223	2914	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
223	6711	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
223	99999911	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
223	99999943	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	3137	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
224	3422	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
