ORIG	DEST	N_TOT
7	7	1
33	33	1
35	33	1
35	35	1
76	76	1
77	35	1
110	111	1
111	111	1
111	117	1
112	112	1
117	117	1
117	118	1
118	118	1
118	119	1
119	119	1
119	120	1
120	127	1
124	124	1
127	127	1
127	128	1
128	124	1
128	128	1
128	129	1
129	129	1
133	128	1
133	133	1
134	133	1
164	164	1
164	167	1
167	167	1
177	164	1
177	177	1
178	177	1
178	178	1
190	195	1
195	178	1
195	195	1
264	264	1
264	265	1
265	265	1
267	264	1
267	267	1
268	267	1
348	348	1
349	348	1
349	349	1
354	354	1
355	354	1
367	370	1
370	370	1
370	2583	1
384	385	1
385	349	1
392	392	1
394	395	1
395	395	2
410	411	1
411	411	1
411	412	1
412	412	1
412	433	2
413	413	1
413	414	1
414	2873	1
416	2873	1
433	413	1
433	416	1
433	433	2
467	468	1
468	468	1
468	474	1
469	395	1
469	469	1
474	469	1
474	474	1
500	500	1
504	500	1
504	504	1
505	504	1
510	511	1
511	511	1
511	979	1
535	535	1
549	549	1
556	556	1
558	556	1
579	582	1
582	582	1
582	4604	1
751	755	1
752	751	1
752	752	1
754	754	1
754	757	1
755	755	1
755	765	1
757	752	1
758	754	1
765	3284	1
782	3362	1
802	802	1
813	813	1
813	824	1
814	813	1
815	814	1
815	815	1
816	815	1
824	782	1
824	824	1
829	832	1
832	853	1
841	841	1
845	841	1
845	845	1
846	845	1
850	892	1
853	850	1
857	886	1
862	863	1
864	862	1
886	886	1
886	888	1
888	864	1
892	907	1
907	857	1
940	76	1
940	940	1
945	945	1
945	946	1
946	949	1
947	947	1
947	1377	1
949	947	1
951	951	1
951	953	1
952	951	1
952	952	1
953	953	1
962	952	1
970	945	1
970	970	1
972	970	1
972	972	1
979	535	1
979	558	1
979	940	1
979	1470	1
979	2032	1
979	6788	1
992	972	1
1008	77	1
1022	1022	1
1057	1057	1
1058	1057	1
1073	1073	1
1073	1080	1
1076	1073	1
1079	1079	1
1080	1079	1
1080	1080	1
1245	7	1
1245	1245	1
1247	1245	1
1247	1247	1
1248	1247	1
1248	1248	1
1250	1248	1
1397	1397	1
1397	1398	1
1398	1396	1
1398	1398	1
1398	1399	1
1399	1397	1
1399	1399	1
1399	1403	1
1403	1404	1
1404	1407	1
1407	1407	1
1407	1410	1
1409	1412	1
1410	1409	1
1410	1410	1
1412	1413	1
1413	1413	1
1413	1420	1
1428	1428	1
1428	1429	1
1429	1429	1
1430	1428	1
1469	1469	1
1470	1469	1
1470	1470	1
1605	1605	1
1642	1605	1
1646	1646	1
1648	1646	1
1778	1794	1
1792	1792	1
1794	1792	1
1794	1794	1
1931	1931	1
1933	1931	1
1933	1933	1
2004	4474	1
2032	1022	1
2032	2032	1
2089	2089	1
2089	2091	1
2090	2094	1
2091	2088	1
2091	2091	1
2094	2089	1
2097	2090	1
2098	2101	1
2099	2098	1
2100	2099	1
2101	2097	1
2112	2114	1
2114	2100	1
2120	2120	1
2121	2120	1
2121	2121	1
2122	2121	1
2122	2122	1
2123	2122	1
2123	2123	1
2124	2124	1
2124	2128	1
2124	2130	1
2125	2124	1
2125	2125	1
2126	2125	1
2128	2128	1
2128	6180	1
2130	2123	1
2135	2124	1
2135	2135	1
2142	2142	1
2142	2143	1
2143	2135	1
2143	2143	1
2251	2251	1
2251	2254	1
2252	2251	1
2254	979	1
2254	2254	1
2292	2292	1
2367	2367	1
2367	2384	1
2369	2369	2
2369	2388	1
2370	2369	1
2370	2370	1
2371	2369	1
2371	2370	1
2371	2371	2
2384	2371	2
2388	2388	1
2389	2367	1
2389	2389	1
2394	2389	1
2394	2394	1
2428	2394	1
2583	2583	1
2619	2625	1
2621	2621	1
2625	2621	1
2625	2625	1
2662	3119	1
2665	2670	1
2668	392	1
2668	802	1
2668	2292	1
2668	2665	1
2668	2668	2
2668	5489	1
2670	2670	1
2826	4137	1
2827	2826	1
2873	2806	1
2873	2876	1
2875	3362	1
2876	2875	1
2895	2901	1
2897	3288	1
2901	2906	1
2902	2897	1
2906	2902	1
2990	3002	1
3002	3008	1
3008	3008	1
3008	3009	1
3009	3121	1
3079	3079	1
3079	3082	1
3082	3082	1
3082	3084	1
3083	3079	1
3084	3084	1
3119	3120	1
3120	3120	1
3120	3121	1
3121	3121	1
3121	3122	1
3121	3152	1
3122	3123	1
3123	6612	1
3152	3152	1
3258	758	1
3288	3289	1
3289	3289	1
3289	3298	1
3295	3299	1
3298	3289	1
3298	3298	1
3298	3300	1
3299	3299	1
3299	3300	1
3300	3298	1
3300	3300	1
3300	3301	1
3301	3303	1
3303	3280	1
3357	3362	1
3362	112	1
3362	1399	1
3362	4705	1
3362	5735	1
3362	6204	1
3377	3377	1
3390	3377	1
3390	3390	1
3432	3432	1
3432	5006	1
3438	3432	1
3442	3390	1
3442	3442	1
3443	3442	1
3455	3456	1
3456	3456	1
3539	3539	1
3597	3597	1
3597	7156	1
3607	3607	1
3610	3607	1
3610	3610	1
3617	3618	1
3618	3610	1
3618	3618	1
3638	3638	1
3638	3683	1
3648	3638	1
3683	3683	1
3683	4178	1
3695	3539	1
3695	3695	1
3828	3829	1
3829	3829	1
3829	3833	1
3833	3833	1
3833	3848	1
3848	3848	1
3850	3852	1
3852	3852	1
3852	3854	1
3854	3854	1
3918	3918	1
3921	3921	2
3921	3930	1
3921	3931	1
3925	3921	1
3930	3932	1
3931	3931	1
3931	3933	1
3932	3931	1
3933	3939	1
3935	3921	1
3935	3935	1
3936	3936	1
3936	3938	1
3937	3936	1
3938	3941	1
3939	3935	1
3939	3937	1
3939	3939	1
3940	3939	1
3941	3941	1
3941	3946	1
3945	3945	1
3946	3945	1
3946	3946	1
3969	3969	1
3980	3980	1
4117	4117	1
4156	4156	1
4156	7045	1
4173	6101	1
4178	3918	1
4178	3969	1
4178	3980	1
4178	4117	1
4178	4173	1
4178	4244	1
4178	5359	1
4178	5855	1
4178	7175	1
4244	4244	1
4361	4361	1
4362	4361	1
4393	4419	1
4415	4416	1
4416	4416	1
4416	4419	1
4419	4419	2
4419	4423	1
4419	5796	1
4420	4420	1
4423	4420	1
4423	4423	1
4468	2142	1
4474	4482	1
4482	4482	1
4482	4523	1
4497	4497	1
4498	4497	1
4498	4498	1
4499	4498	1
4499	4499	1
4512	4512	1
4512	4513	1
4513	4499	1
4516	4516	1
4516	4523	1
4523	4523	1
4523	4553	1
4526	4526	1
4533	4549	1
4543	4545	1
4545	4526	1
4545	4545	1
4547	4516	1
4547	4547	1
4548	4547	1
4549	4548	1
4549	4549	1
4553	4553	1
4560	4512	1
4572	4587	1
4581	4581	1
4581	4601	1
4584	4584	1
4586	4581	1
4587	4533	1
4587	4586	1
4599	4584	1
4601	4599	1
4601	4601	1
4604	549	1
4604	4156	1
4604	4783	1
4604	5348	1
4604	5359	1
4604	7012	1
4634	1648	1
4634	1933	1
4634	4634	2
4634	5330	1
4634	6878	1
4654	4654	1
4655	4654	1
4664	4669	1
4669	2990	1
4683	4655	1
4698	5001	1
4701	4706	1
4705	4691	1
4705	4705	1
4705	5295	1
4706	4705	1
4755	4755	1
4755	4757	1
4757	4757	1
4777	4755	1
4777	4777	1
4778	4777	1
4778	4778	1
4779	4803	1
4801	4778	1
4801	4801	1
4802	4801	1
4803	4802	1
4803	4803	1
4805	4779	1
4956	4958	1
4957	4957	1
4957	4959	1
4958	4957	1
4958	4958	1
4959	4960	1
4960	4960	1
4960	4961	1
4961	4961	1
4964	4969	1
4965	4964	1
4965	4965	1
4969	4969	1
4969	5001	1
4981	4698	1
5000	4701	1
5000	5000	1
5001	5000	2
5001	5001	1
5004	5004	1
5006	5004	1
5006	5006	1
5013	4965	1
5014	4956	1
5014	5014	1
5014	5015	1
5015	5013	1
5015	5014	1
5015	5015	1
5114	5118	1
5118	5118	1
5118	5119	1
5119	5119	1
5168	5169	1
5169	5169	1
5169	5176	1
5173	5174	1
5174	5174	1
5174	5201	1
5176	5173	1
5176	5176	1
5180	5180	1
5180	5181	1
5181	5181	1
5181	5183	1
5182	5180	1
5182	5182	1
