ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
25	5420	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
31	7292	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
35	139	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
49	99999942	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
55	99999942	0	2	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	3
72	7253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
75	99999942	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
82	2852	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
88	99999942	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2
109	1432	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
109	99999941	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
111	99999942	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2
114	7241	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
117	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
130	82	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
131	99999941	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
132	918	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
138	7264	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
139	146	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	149	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	224	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	2599	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	6527	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
141	7239	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
142	6754	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
149	3008	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
149	5726	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
149	99999941	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	437	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	2062	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
151	6811	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7390	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
152	2974	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999939	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
156	132	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
156	428	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	149	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
157	253	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
157	517	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	661	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
157	871	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
157	2067	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	2284	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	4595	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	6767	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
157	6811	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
158	99999901	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
173	6829	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
174	157	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
181	99999942	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
187	878	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
188	3968	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
193	99999923	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
213	521	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
215	521	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	2532	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
223	2619	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	230	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	2510	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	2530	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	2533	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
224	2570	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	2862	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	3282	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
224	5535	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	6126	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
224	99999941	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
