ORIG	DEST	N_TOT
2	3	1
3	3	1
3	1243	1
9	9	1
9	25	1
25	25	1
25	29	1
27	27	1
28	27	1
28	28	1
29	28	1
29	29	1
56	56	1
64	64	1
66	64	1
76	932	1
88	88	1
89	88	1
92	92	1
108	118	1
109	1239	1
118	118	1
118	119	1
119	119	1
119	1238	1
127	127	1
131	143	1
133	134	1
134	134	1
143	143	1
143	144	1
144	144	1
150	150	1
151	153	1
153	153	1
155	150	1
164	164	1
180	180	1
180	574	1
189	189	1
212	212	1
219	219	1
220	219	1
220	220	1
221	220	1
221	221	1
252	252	1
253	253	1
253	559	1
255	255	1
255	303	1
256	299	1
257	256	1
257	257	1
258	255	1
258	258	1
259	258	1
259	276	1
267	278	1
271	274	1
274	274	2
274	275	1
274	277	1
275	274	1
275	275	3
275	287	1
276	275	1
276	276	1
277	277	1
278	278	1
278	286	1
285	285	1
286	285	1
286	286	1
287	287	1
299	299	1
302	302	1
303	303	1
303	305	1
304	302	1
304	304	1
305	304	1
317	318	1
318	318	1
318	332	1
324	324	1
324	325	1
325	325	1
326	324	1
326	326	1
327	326	1
327	327	1
328	327	1
332	332	1
367	367	1
390	390	1
391	391	1
391	2817	1
392	391	1
417	417	1
433	417	1
433	433	1
465	465	1
471	471	2
471	473	1
472	471	2
473	473	1
473	531	1
480	480	1
480	482	1
481	480	1
481	481	1
482	482	1
482	483	1
483	483	1
491	491	1
496	497	1
497	481	1
497	497	1
504	504	1
515	515	1
515	516	1
516	516	1
516	517	1
517	517	1
531	518	1
531	531	1
534	534	1
534	549	1
534	551	1
535	534	1
537	537	1
537	538	1
538	515	1
538	538	1
539	537	1
539	539	1
546	539	1
549	549	1
550	550	1
551	550	1
551	551	1
555	565	1
559	212	1
565	565	1
570	180	1
574	574	1
586	590	1
588	586	1
590	590	1
591	591	1
592	591	1
593	593	1
596	596	1
597	593	1
597	597	1
598	597	1
603	603	1
614	588	1
614	614	1
615	615	1
615	617	1
617	614	1
639	643	1
642	642	1
643	642	1
643	643	1
650	650	1
658	658	1
661	661	1
663	663	1
663	900	1
675	675	1
676	675	1
676	676	1
683	676	1
691	691	1
713	713	1
714	713	1
714	714	1
733	733	1
733	735	1
734	734	1
734	736	1
736	736	1
742	733	1
743	743	1
743	773	1
754	768	1
768	768	1
768	810	1
769	771	1
771	743	1
773	742	1
787	787	1
810	769	1
819	819	1
819	821	1
821	821	1
822	819	1
877	877	1
900	661	1
900	900	1
908	908	1
909	909	1
910	909	1
910	910	1
920	931	1
931	932	1
932	932	1
932	933	1
933	935	1
934	615	1
934	934	1
935	934	1
940	937	1
940	940	1
942	943	1
943	943	1
958	958	1
963	993	1
968	968	1
977	1462	1
979	9	1
979	56	1
979	92	1
979	127	1
979	164	1
979	221	1
979	257	1
979	596	1
979	650	1
979	877	1
979	910	1
979	958	1
979	1009	1
979	1434	1
979	2308	1
979	2316	1
979	2342	1
979	2503	1
979	2504	1
979	2511	1
979	2540	1
979	6829	1
979	6844	1
979	6863	1
980	980	1
980	1380	1
982	1378	1
993	968	1
993	993	1
995	997	1
997	997	1
997	998	1
998	998	1
1006	982	1
1006	1414	1
1007	1006	1
1008	189	1
1008	252	1
1008	658	1
1008	908	1
1008	1007	1
1008	1381	1
1009	1009	2
1009	1012	1
1009	1416	1
1010	1010	1
1012	1012	1
1012	1013	1
1013	1010	1
1021	1021	1
1023	2024	1
1026	1026	1
1026	1029	1
1027	1026	1
1029	1029	1
1041	1041	1
1044	491	1
1044	691	1
1044	1021	1
1044	1041	1
1044	2293	1
1044	2317	1
1044	2528	1
1053	1053	1
1054	1053	1
1054	1054	1
1055	1054	1
1056	1055	1
1057	1056	1
1057	1057	1
1059	1059	1
1062	1063	1
1063	1063	1
1063	1067	1
1067	1059	1
1067	1067	1
1067	1070	1
1068	1069	1
1069	1067	1
1069	1069	1
1070	1070	1
1171	1171	1
1172	1171	1
1172	1172	1
1174	1174	1
1210	1210	1
1218	1224	1
1223	1227	1
1224	1226	1
1226	1223	1
1227	1229	1
1229	1172	1
1229	1229	1
1229	1292	1
1235	1235	1
1235	1236	1
1238	1235	1
