ORIG	DEST	N_LS0	N_LS1	N_LS2	N_LS3	N_LS4	N_LS5	N_LS6	N_LS7	N_VEH0	N_VEH1	N_VEH2	N_VEH3	N_VEH4	N_VEH5	N_VEH6	N_VEH7	N_VEH8	N_VEH9	N_TOT
7	99999918	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
14	1757	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
25	1762	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
43	6809	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	253	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
49	99999932	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
89	99999940	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
115	99999943	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	146	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
139	257	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	508	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	2378	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	3104	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7052	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
139	7346	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999918	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
139	99999943	1	1	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	4
141	99999934	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
141	99999943	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
143	99999943	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
149	99999913	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
150	99999940	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	514	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	1379	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
151	6553	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1
151	6862	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
151	7253	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
151	99999943	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
152	5349	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
152	99999918	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
156	4171	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	935	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
157	99999943	1	0	2	1	0	1	0	0	1	0	0	1	0	3	0	0	0	0	5
183	230	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
185	581	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
185	5302	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
196	403	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
214	99999943	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
215	190	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	2168	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
215	6787	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	6862	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
215	99999932	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
216	1048	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
223	6799	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1
223	7305	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	1757	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
224	2174	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	4478	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
224	7236	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
224	99999901	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1
224	99999907	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
224	99999915	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2
224	99999943	0	0	5	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	5
227	2174	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
230	2666	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1
230	7292	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
230	99999940	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
250	223	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	224	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	2379	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
253	6326	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	6327	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	6488	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	7377	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
253	99999940	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
253	99999943	2	1	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0	0	4
257	99999903	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1
277	99999940	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
288	6762	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
289	99999943	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
294	2920	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
308	1044	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
308	4629	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1
308	99999918	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2
308	99999940	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
309	99999940	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
313	2521	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1
330	99999943	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
